"canonicalname","guild","citationSource","simplified_disease_1","simplified_disease_2","accepted_name","kingdom","names_to_use"
"Caloplaca_gilfillaniorum","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kaernefia gilfillaniorum","Fungi","Kaernefia_gilfillaniorum"
"Caloplaca_kaernefeltii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kaernefia kaernefeltii","Fungi","Kaernefia_kaernefeltii"
"Phaeographis_hypoglaucoides","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kalbographa hypoglaucoides","Fungi","Kalbographa_hypoglaucoides"
"Kalbographa_lueckingii","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kalbographa lueckingii","Fungi","Kalbographa_lueckingii"
"Kalchbrenneriella_cyanescens","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Kalchbrenneriella cyanescens","Fungi","Kalchbrenneriella_cyanescens"
"Bauerago_boliviana","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","smut","smut","Kalmanago boliviana","Fungi","Kalmanago_boliviana"
"Bauerago_combensis","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","smut","smut","Kalmanago combensis","Fungi","Kalmanago_combensis"
"Bauerago_commelinae","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","smut","smut","Kalmanago commelinae","Fungi","Kalmanago_commelinae"
"Bauerago_tinantiae","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","smut","smut","Kalmanago tinantiae","Fungi","Kalmanago_tinantiae"
"Kalmusia_italica","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Kalmusia italica","Fungi","Kalmusia_italica"
"Dendrothyrium_longisporum","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","isolated_from_leaf_spot","leaf_spot","Kalmusia longispora","Fungi","Kalmusia_longispora"
"Kalmusia_spartii","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Kalmusia spartii","Fungi","Kalmusia_spartii"
"Dendrothyrium_variisporum Kalmusia_variispora","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","decline_vascular_discoloration","decline_vascular_discoloration","Kalmusia variispora","Fungi","Kalmusia_variispora"
"Kamienskia_bistrata","Arbuscular_Mycorrhizal","Bala_Chaudhary_&_Carlos_Aguilar_et_al_In_prep",NA,NA,"Kamienskia bistrata","Fungi","Kamienskia_bistrata"
"Kantvilasia_hians","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kantvilasia hians","Fungi","Kantvilasia_hians"
"Karoowia_inspida","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Xanthoparmelia","Fungi","Karoowia_inspida"
"Karschia_alpicolae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Karschia alpicolae","Fungi","Karschia_alpicolae"
"Karschia_santessonii","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Karschia santessonii","Fungi","Karschia_santessonii"
"Karschia_talcophila","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Karschia talcophila","Fungi","Karschia_talcophila"
"Ramonia_interjecta Ramonia_luteola","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens AND liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Karstenia rhopaloides","Fungi","Karstenia_rhopaloides"
"Karsteniomyces_peltigerae","Lichen_Parasite","Esslinger_TL._2014._North_Dakota_State_University_((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))",NA,NA,"Karsteniomyces peltigerae","Fungi","Karsteniomyces_peltigerae"
"Kaskaskia_gleditsiae","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","bark_canker","canker","Kaskaskia gleditsiae","Fungi","Kaskaskia_gleditsiae"
"Kauffmania_larga Psathyrella_larga","Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534 AND Halbwachs&_Bässler_(2020)._Mycological_Progress_19(8):_817-824",NA,NA,"Kauffmania larga","Fungi","Kauffmania_larga"
"Kavinia_alboviridis","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Kavinia alboviridis","Fungi","Kavinia_alboviridis"
"Keissleriella_emergens","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","gall_rough_bark_warted_swollen_gall_warted_swollen_roots","gall_rough_bark_warted_swollen_roots","Keissleriella emergens","Fungi","Keissleriella_emergens"
"Keissleriella_genistae","Endophyte","Adame-Avarez_R-M,_et_al._2014._FEMS_Microbiology_Letters_355:100-107_((https://doi.org/10.1111/1574-6968.12454))",NA,NA,"Keissleriella genistae","Fungi","Keissleriella_genistae"
"Keissleriella_sparticola","Saprotroph","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","saprobe","saprobe","Keissleriella spartiicola","Fungi","Keissleriella_spartiicola"
"Keissleriomyces_sandstedeanus","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Keissleriomyces sandstedeanus","Fungi","Keissleriomyces_sandstedeanus"
"Kellermania_agaves","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","lesion","lesion","Kellermania agaves","Fungi","Kellermania_agaves"
"Kellermania_anomala","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","leaf_blight","blight","Kellermania anomala","Fungi","Kellermania_anomala"
"Piptarthron_macrosporum","Endophyte","Costa_IPMW,_et_al._2012._Mycotaxon_119:e26_((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf))",NA,NA,"Kellermania macrospora","Fungi","Kellermania_macrospora"
"Keratosphaera_batistae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Keratosphaera batistae","Fungi","Keratosphaera_batistae"
"Keratosphaera_dimerellae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Keratosphaera dimerellae","Fungi","Keratosphaera_dimerellae"
"Keratosphaera_furcatiseta","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Keratosphaera furcatiseta","Fungi","Keratosphaera_furcatiseta"
"Keratosphaera_multiseptata","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Keratosphaera multiseptata","Fungi","Keratosphaera_multiseptata"
"Keratosphaera_porinae","Lichen_Parasite","Lawrey_JD,_Diederich_P._2016._http://www.lichenicolous.net_(accessed_24_May_2017)_((http://www.lichenicolous.net))",NA,NA,"Keratosphaera porinae","Fungi","Keratosphaera_porinae"
"Toninia_athallina","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kiliasia athallina","Fungi","Kiliasia_athallina"
"Toninia_weberi","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kiliasia granulosa","Fungi","Kiliasia_granulosa"
"Toninia_pennina","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kiliasia pennina","Fungi","Kiliasia_pennina"
"Toninia_philippea","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kiliasia philippea","Fungi","Kiliasia_philippea"
"Toninia_sculpturata","Lichen_Parasite Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kiliasia sculpturata","Fungi","Kiliasia_sculpturata"
"Catillaria_tristis","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kiliasia tristis","Fungi","Kiliasia_tristis"
"Kirramyces_delegatensis","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","leaf_spot","leaf_spot","Kirramyces delegatensis","Fungi","Kirramyces_delegatensis"
"Kirschsteiniothelia_aethiops","Saprotroph","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kirschsteiniothelia atra","Fungi","Kirschsteiniothelia_atra"
"Kirschsteiniothelia_recessa","Saprotroph","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kirschsteiniothelia recessa","Fungi","Kirschsteiniothelia_recessa"
"Kirschsteiniothelia_thujina","Saprotroph","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Kirschsteiniothelia thujina","Fungi","Kirschsteiniothelia_thujina"
"Hyphodontia_subalutacea","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Kneiffia subalutacea","Fungi","Kneiffia_subalutacea"
"Hyphodontia_cineracea","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Kneiffiella cineracea","Fungi","Kneiffiella_cineracea"
"Hyphodontia_floccosa","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Kneiffiella floccosa","Fungi","Kneiffiella_floccosa"
"Xylodon_serpentiformis","Wood_Saprotroph","Sánchez-García,_M_et_al._2020._Proc_Natl_Acad_Sci_U_S_A_117(51):_32528-32534",NA,NA,"Kneiffiella serpentiformis","Fungi","Kneiffiella_serpentiformis"
"Icmadophila_eucalypti","Lichenized","liaslight.lias.net_A_Database_for_rapid_identification_of_Lichens",NA,NA,"Knightiella eucalypti","Fungi","Knightiella_eucalypti"
"Gondwanamyces_serotectus Knoxdaviesia_serotectus","Plant_Pathogen","USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm AND USDA_Plant_Fungus_database_https://nt.ars-grin.gov/fungaldatabases/fungushost/fungushost.cfm","lesion","lesion","Knoxdaviesia serotecta","Fungi","Knoxdaviesia_serotecta"
