"accepted_name","guild","guild_count","tax_level","phylum","class","order","family"
"Antrodiopsis","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae"
"Anzia","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae"
"Apatoplaca","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Teloschistales","Teloschistaceae"
"Apenidiella","Endophyte Saprotroph",2,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae"
"Aphanoascus","Human_Pathogen",1,"B_genus","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae"
"Aphanobasidium","Wood_Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Radulomycetaceae"
"Aphanocladium","Fungal_Parasite",1,"B_genus","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae"
"Aphanopsis","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Lecanorales","Aphanopsidaceae"
"Aphanostigme","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Incertae sedis","Pseudoperisporiaceae"
"Aphroditeola","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae"
"Apinisia","Plant_Pathogen Saprotroph",2,"B_genus","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae"
"Apiognomonia","Endophyte Plant_Pathogen",2,"B_genus","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae"
"Apioperdon","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae"
"Apioplagiostoma","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae"
"Apiosphaeria","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Phyllachorales","Phyllachoraceae"
"Apiospora","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Incertae sedis","Apiosporaceae"
"Apiosporella","Lichen_Parasite",1,"B_genus","Ascomycota","Sordariomycetes","Incertae sedis","Apiosporaceae"
"Apiosporina","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae"
"Apiosporopsis","Plant_Pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Diaporthales","Melanconidaceae"
"Apiotrichum","Human_Pathogen",1,"B_genus","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae"
"Aplanocalenia","Lichenized",1,"B_genus","Ascomycota","Lecanoromycetes","Ostropales","Gomphillaceae"
"Aplopsora","Biotrophic_plant_pathogen",1,"B_genus","Basidiomycota","Pucciniomycetes","Pucciniales","Chaconiaceae"
"Aplosporella","Endophyte Plant_Pathogen",2,"B_genus","Ascomycota","Dothideomycetes","Botryosphaeriales","Aplosporellaceae"
"Apoharknessia","Endophyte Plant_Pathogen",2,"B_genus","Ascomycota","Sordariomycetes","Diaporthales","Apoharknessiaceae"
"Apophysomyces","Human_Pathogen",1,"B_genus","Mucoromycota","Mucoromycetes","Mucorales","Saksenaeaceae"
"Aporpium","Saprotroph",1,"B_genus","Basidiomycota","Agaricomycetes","Auriculariales","Incertae sedis"
"Aposphaeria","Plant_Pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae"
"Appendiculella","Biotrophic_plant_pathogen",1,"B_genus","Ascomycota","Sordariomycetes","Meliolales","Meliolaceae"
"Apseudocercosporella","Necrotrophic_plant_pathogen",1,"B_genus","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae"
"Apterivorax","Insect_Pathogen",1,"B_genus","Entomophthoromycota","Entomophthoromycetes","Entomophthorales","Neozygitaceae"
"Aptrootia","Lichenized Saprotroph",2,"B_genus","Ascomycota","Dothideomycetes","Trypetheliales","Trypetheliaceae"
